class,subtype,color,view,position,image_filename,full_prompt,negative_prompt,generated?
stitch,broken,black,front,left side seam,stitch_broken_left_side_seam.png,"A single complete black cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. The entire shirt is visible from collar to bottom hem and from cuff to cuff, centered in the frame, with both sleeves extended naturally outward. The shirt is fully buttoned, front side facing upward, collar centered at the top, and the button placket running vertically through the center. Professional e-commerce garment product photography, soft even studio lighting, realistic cotton fabric texture, sharp focus across the entire shirt. The ONLY defect is a broken stitch anomaly along the LEFT SIDE SEAM. Several normally continuous stitches are interrupted or skipped, creating a short visible gap in the stitching line. The individual thread ends at the break are slightly frayed and realistic. The defect is clearly localized and realistic in size. The fabric itself remains intact. All other seams, stitching, buttons and fabric are completely normal and undamaged.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",True
stitch,broken,white,front,left sleeve seam,stitch_broken_left_sleeve_seam.png,"A single complete white cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. The entire shirt is visible from collar to bottom hem and from cuff to cuff, centered in the frame, with both sleeves extended naturally outward. Fully buttoned, front side facing upward, collar centered at the top, professional e-commerce garment photography, soft even studio lighting, realistic cotton texture, sharp focus. The ONLY defect is a broken stitch anomaly along the LEFT SLEEVE SEAM near the cuff. The normally continuous seam has a short section of interrupted and skipped stitches, leaving several small gaps between stitch points. A few thread ends are slightly frayed. The sleeve fabric is intact with no tear or hole. Everything else is completely normal and undamaged.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",True
stitch,broken,navy,front,right side seam,stitch_broken_right_side_seam.png,"A single complete navy blue cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire garment visible, centered, sleeves extended outward, fully buttoned, front facing upward, collar centered at the top, vertical button placket centered. Professional e-commerce product photography, soft even studio lighting, realistic cotton texture, sharp focus. The ONLY defect is a broken stitch anomaly along the RIGHT SIDE SEAM. A short section of the seam contains interrupted and skipped stitches with small visible gaps. The stitching before and after the defect remains straight and normal. A few thread ends are slightly frayed at the break. No fabric tearing is present. All other garment components are normal and undamaged.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",True
stitch,broken,grey,front,shoulder seam,stitch_broken_shoulder_seam.png,"A single complete grey cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire shirt visible, centered, both sleeves extended, front facing upward, collar at the top center, button placket vertically aligned. Professional e-commerce product photography, soft diffuse studio lighting, realistic cotton texture, sharp focus. The ONLY defect is a broken stitch section along the LEFT SHOULDER SEAM. The seam contains a short interruption where several stitches are missing, creating small gaps between otherwise normal stitches. Slightly frayed thread ends are visible at the interruption. The shoulder fabric remains intact. No other defect appears anywhere on the shirt.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",True
stitch,broken,maroon,front,bottom hem,stitch_broken_bottom_hem.png,"A single complete maroon cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire garment visible from collar to hem and cuff to cuff, centered and straight, sleeves extended outward, fully buttoned, front side facing upward. Professional e-commerce product photography, soft even studio lighting, realistic cotton fabric texture, sharp focus. The ONLY defect is a broken stitch line along the FRONT BOTTOM HEM. A short section of the hem stitching is interrupted, with several skipped stitches and small gaps. The thread ends around the interruption are slightly frayed. The fabric remains intact without tearing. Every other part of the shirt is clean and undamaged.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",True
stitch,broken,beige,back,back yoke seam,stitch_broken_back_yoke_seam.png,"A single complete beige cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle, BACK SIDE facing upward. The entire garment is visible from collar to bottom hem and cuff to cuff, centered in the frame, sleeves extended naturally outward. Professional e-commerce garment product photography, soft even studio lighting, realistic cotton fabric texture, sharp focus. The ONLY defect is a broken stitch anomaly along the BACK YOKE SEAM. Several stitches in a short section of the seam are interrupted or skipped, leaving small visible gaps and slightly frayed thread ends. The fabric panels remain intact and correctly positioned. No other defects appear anywhere on the garment.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",True
stitch,open_seam,white,front,left side seam,stitch_open_seam_left_side_seam.png,"A single complete white cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire garment visible, centered, sleeves extended outward, front side facing upward, fully buttoned, collar centered at the top. Professional e-commerce garment photography, soft even lighting, realistic cotton texture, sharp focus. The ONLY defect is an OPEN SEAM along the LEFT SIDE SEAM. Two fabric panels have visibly separated along a short section of the seam, creating a narrow dark gap approximately 2 centimeters wide. The fabric edges are slightly frayed and a few thread remnants are visible. The defect is localized and realistic. No tear, burn, stain or other defect is present.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",True
stitch,open_seam,black,front,right side seam,stitch_open_seam_right_side_seam.png,"A single complete black cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire garment visible, centered, sleeves extended, fully buttoned, front facing upward, collar centered. Professional e-commerce product photography, soft even studio lighting, realistic cotton texture. The ONLY defect is an OPEN SEAM along the RIGHT SIDE SEAM. The two garment panels have separated along a short section, producing a clearly visible dark gap between the fabric edges. Several small loose thread remnants are visible along the separated seam. The surrounding fabric remains intact and normal. No other defect appears.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",True
stitch,open_seam,navy,front,left sleeve seam,stitch_open_seam_left_sleeve_seam.png,"A single complete navy blue cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire shirt visible, centered, both sleeves extended, front side upward, collar centered, fully buttoned. Professional e-commerce product photography, soft even lighting, realistic cotton fabric. The ONLY defect is an OPEN SEAM along the LEFT SLEEVE SEAM. A short portion of the sleeve seam has separated, revealing a dark narrow gap between the two fabric panels. Small thread remnants remain along both edges. The sleeve fabric outside the seam is normal and undamaged.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",True
stitch,open_seam,grey,front,right sleeve seam,stitch_open_seam_right_sleeve_seam.png,"A single complete grey cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire garment visible and centered, sleeves extended outward, front side facing upward, fully buttoned, collar centered. Professional e-commerce garment photography, soft diffuse studio lighting, sharp focus. The ONLY defect is an OPEN SEAM along the RIGHT SLEEVE SEAM. The seam has separated over a short section, exposing a narrow dark gap between the fabric panels. A few loose thread remnants are visible. The fabric around the defect remains intact. No other defects.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",True
stitch,open_seam,maroon,front,collar seam,stitch_open_seam_collar_seam.png,"A single complete maroon cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle. Entire garment visible, centered, fully buttoned, front facing upward, sleeves extended naturally, collar at the top center. Professional e-commerce product photography, soft even studio lighting, realistic fabric texture. The ONLY defect is an OPEN SEAM along a short section of the COLLAR EDGE SEAM. The collar fabric has separated slightly from the adjoining garment fabric, forming a small dark gap with a few visible thread remnants. The collar remains recognizable and properly positioned. No other defects are present.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",True
stitch,open_seam,light blue,back,back yoke seam,stitch_open_seam_back_yoke_seam.png,"A single complete light blue cotton button-up dress shirt laid completely flat on a plain light grey studio background, photographed directly from above at a perfect 90-degree top-down angle, BACK SIDE facing upward. Entire garment visible, centered, sleeves extended, collar at the top, bottom hem visible. Professional e-commerce garment product photography, soft even lighting, realistic cotton texture. The ONLY defect is an OPEN SEAM along the BACK YOKE SEAM. A short section of the seam has separated, creating a clearly visible dark gap between the upper fabric panel and the back body of the shirt. Small loose thread remnants are visible along the opening. Everything else is normal and undamaged.","folded shirt, hanging shirt, hanger, mannequin, person, human model, worn shirt, cropped garment, partial shirt, close-up, macro, perspective view, angled camera, three-quarter view, side view, rotated shirt, twisted sleeves, overlapping sleeves, excessive wrinkles, large unrealistic defect, multiple defects, random hole, random tear, burn, stain, damaged button, open seam, zigzag stitching, dark background, textured background, harsh shadows, dramatic lighting, text, watermark, logo, brand name, label, low quality, blurry, distorted garment, deformed collar, malformed buttons, unrealistic fabric",True
